total_bill,size,sex,smoker,day,time
13.28,2,Male,No,Sat,Dinner
24.27,2,Male,Yes,Sat,Dinner
27.28,2,Male,Yes,Fri,Dinner
31.71,4,Male,No,Sun,Dinner
15.98,2,Male,No,Thur,Lunch
19.49,2,Male,No,Sun,Dinner
13.03,2,Male,No,Thur,Lunch
7.25,2,Male,Yes,Sun,Dinner
17.82,2,Male,No,Sat,Dinner
17.26,3,Male,No,Sun,Dinner
15.69,3,Male,Yes,Sat,Dinner
17.31,2,Female,No,Sun,Dinner
23.33,2,Male,Yes,Sun,Dinner
16.27,2,Female,Yes,Fri,Lunch
20.23,2,Male,No,Sat,Dinner
20.92,2,Female,No,Sat,Dinner
15.01,2,Male,Yes,Sat,Dinner
7.25,1,Female,No,Sat,Dinner
26.59,3,Male,Yes,Sat,Dinner
24.52,3,Male,No,Sun,Dinner
19.77,4,Male,No,Sun,Dinner
17.29,2,Male,No,Thur,Lunch
19.65,2,Female,No,Sat,Dinner
15.53,2,Male,Yes,Sat,Dinner
20.45,4,Male,No,Sat,Dinner
34.65,4,Male,Yes,Sun,Dinner
25.29,4,Male,No,Sun,Dinner
38.01,4,Male,Yes,Sat,Dinner
9.78,2,Male,No,Thur,Lunch
25.71,3,Female,No,Sun,Dinner
20.08,3,Male,No,Sat,Dinner
11.17,2,Female,No,Thur,Lunch
38.73,4,Male,Yes,Sat,Dinner
16.21,3,Female,No,Sun,Dinner
18.35,4,Male,No,Sat,Dinner
15.42,2,Male,No,Sun,Dinner
24.06,3,Male,No,Sat,Dinner
21.7,2,Male,No,Sat,Dinner
13.94,2,Male,No,Sun,Dinner
29.03,3,Male,No,Sat,Dinner
8.52,2,Male,No,Thur,Lunch
16.32,2,Female,Yes,Fri,Dinner
17.51,2,Female,Yes,Sun,Dinner
10.29,2,Female,No,Sun,Dinner
40.17,4,Male,Yes,Fri,Dinner
17.47,2,Female,No,Thur,Lunch
16.58,2,Male,Yes,Thur,Lunch
17.92,2,Male,Yes,Sat,Dinner
17.46,2,Male,No,Sun,Dinner
18.24,2,Male,No,Sat,Dinner
15.98,3,Female,No,Fri,Lunch
22.76,2,Male,No,Thur,Lunch
16.43,2,Female,No,Thur,Lunch
13.37,2,Male,No,Sat,Dinner
10.07,2,Male,No,Sat,Dinner
13.27,2,Female,Yes,Sat,Dinner
23.17,4,Male,Yes,Sun,Dinner
15.48,2,Male,Yes,Thur,Lunch
16.99,2,Female,No,Sun,Dinner
21.01,3,Male,No,Sun,Dinner
27.2,4,Male,No,Thur,Lunch
22.23,2,Male,No,Sun,Dinner
11.35,2,Female,Yes,Fri,Dinner
14.15,2,Female,No,Thur,Lunch
11.87,2,Female,No,Thur,Lunch
32.9,2,Male,Yes,Sun,Dinner
28.97,2,Male,Yes,Fri,Dinner
34.83,4,Female,No,Thur,Lunch
12.66,2,Male,No,Sun,Dinner
21.01,2,Male,Yes,Fri,Dinner
16.31,3,Male,No,Sat,Dinner
13.81,2,Male,Yes,Sat,Dinner
15.77,2,Female,No,Sat,Dinner
12.43,2,Female,No,Thur,Lunch
13.39,2,Female,No,Sun,Dinner
10.33,2,Female,No,Thur,Lunch
35.26,4,Female,No,Sun,Dinner
35.83,3,Female,No,Sat,Dinner
12.69,2,Male,No,Sat,Dinner
14.07,2,Male,No,Sun,Dinner
24.59,4,Female,No,Sun,Dinner
14.26,2,Male,No,Thur,Lunch
15.06,2,Female,No,Sat,Dinner
31.85,2,Male,Yes,Sun,Dinner
16.0,2,Male,Yes,Thur,Lunch
11.02,2,Male,Yes,Sat,Dinner
8.51,2,Female,No,Thur,Lunch
11.38,2,Female,No,Thur,Lunch
12.16,2,Male,Yes,Fri,Lunch
40.55,2,Male,Yes,Sun,Dinner
12.02,2,Male,No,Sat,Dinner
16.47,3,Female,Yes,Thur,Lunch
17.59,3,Male,No,Sat,Dinner
30.4,4,Male,No,Sun,Dinner
30.14,4,Female,Yes,Sat,Dinner
16.04,3,Male,No,Sat,Dinner
15.95,2,Male,No,Thur,Lunch
39.42,4,Male,No,Sat,Dinner
9.6,2,Female,Yes,Sun,Dinner
16.66,2,Male,No,Thur,Lunch
31.27,3,Male,No,Sat,Dinner
20.53,4,Male,Yes,Thur,Lunch
32.4,4,Male,No,Sun,Dinner
22.75,2,Female,No,Fri,Dinner
9.68,2,Male,No,Sun,Dinner
8.35,2,Female,No,Thur,Lunch
15.69,2,Male,Yes,Sun,Dinner
23.68,2,Male,No,Sun,Dinner
15.36,2,Male,Yes,Sat,Dinner
9.94,2,Male,No,Sun,Dinner
12.26,2,Female,No,Thur,Lunch
13.42,2,Female,Yes,Fri,Lunch
32.83,2,Male,Yes,Sat,Dinner
10.09,2,Female,Yes,Fri,Lunch
18.04,2,Male,No,Sun,Dinner
13.81,2,Male,No,Sun,Dinner
19.44,2,Male,Yes,Thur,Lunch
17.78,2,Male,No,Sat,Dinner
12.74,2,Female,Yes,Thur,Lunch
26.88,4,Male,No,Sun,Dinner
15.81,2,Male,Yes,Sat,Dinner
14.0,2,Male,No,Sat,Dinner
22.49,2,Male,No,Fri,Dinner
32.68,2,Male,Yes,Thur,Lunch
11.59,2,Male,Yes,Sat,Dinner
8.58,1,Male,Yes,Fri,Lunch
21.16,2,Male,No,Thur,Lunch
15.04,2,Male,No,Sun,Dinner
18.43,4,Male,No,Sun,Dinner
12.76,2,Female,Yes,Sat,Dinner
20.27,2,Female,No,Thur,Lunch
16.29,3,Male,No,Sun,Dinner
20.76,2,Male,No,Sun,Dinner
26.86,2,Female,Yes,Sat,Dinner
11.61,2,Male,No,Sat,Dinner
18.26,2,Female,No,Thur,Lunch
13.51,2,Male,Yes,Thur,Lunch
13.42,2,Male,Yes,Fri,Lunch
18.29,4,Male,Yes,Sat,Dinner
25.56,4,Male,No,Sun,Dinner
25.21,2,Male,Yes,Sat,Dinner
12.54,2,Male,No,Sun,Dinner
24.01,4,Male,Yes,Sat,Dinner
16.82,2,Male,Yes,Sun,Dinner
23.1,3,Male,Yes,Sun,Dinner
27.18,2,Female,Yes,Sat,Dinner
12.9,2,Female,Yes,Sat,Dinner
10.63,2,Female,Yes,Sat,Dinner
11.24,2,Male,Yes,Sat,Dinner
28.55,3,Male,No,Sun,Dinner
24.71,2,Male,No,Thur,Lunch
20.29,2,Female,No,Sat,Dinner
26.41,2,Female,No,Sat,Dinner
16.4,2,Female,Yes,Thur,Lunch
21.5,4,Male,No,Sun,Dinner
12.6,2,Male,Yes,Sat,Dinner
19.81,2,Female,Yes,Thur,Lunch
22.82,3,Male,No,Thur,Lunch
16.93,3,Female,No,Sat,Dinner
25.0,4,Female,No,Sun,Dinner
22.12,2,Female,Yes,Sat,Dinner
10.34,3,Male,No,Sun,Dinner
34.81,4,Female,No,Sun,Dinner
7.51,2,Male,No,Thur,Lunch
19.08,2,Male,No,Thur,Lunch
13.13,2,Male,No,Sun,Dinner
22.42,2,Female,Yes,Sat,Dinner
12.46,2,Male,No,Fri,Dinner
29.93,4,Male,No,Sun,Dinner
18.28,2,Male,No,Thur,Lunch
13.0,2,Female,Yes,Thur,Lunch
14.73,2,Female,No,Sat,Dinner
28.17,3,Female,Yes,Sat,Dinner
30.06,3,Male,Yes,Sat,Dinner
13.42,2,Female,No,Thur,Lunch
18.78,2,Female,No,Thur,Dinner
17.92,2,Male,No,Sat,Dinner
18.15,3,Female,Yes,Sun,Dinner
17.07,3,Female,No,Sat,Dinner
20.49,2,Male,Yes,Sat,Dinner
14.83,2,Female,No,Sun,Dinner
5.75,2,Female,Yes,Fri,Dinner
34.63,2,Male,Yes,Sun,Dinner
